ApplicationNumber,JEE_Rank,Department,ChoiceNumber,Status,Reason
20250000441,32122,,,Failure,No eligible seats available in any of the choices
20250000567,35015,,,Failure,No eligible seats available in any of the choices
20250000418,52770,,,Failure,No eligible seats available in any of the choices
20250000234,56124,,,Failure,No eligible seats available in any of the choices
20250000746,67067,,,Failure,No eligible seats available in any of the choices
20250001089,68934,,,Failure,No eligible seats available in any of the choices
20250000603,72329,,,Failure,No eligible seats available in any of the choices
20250000853,76388,,,Failure,No eligible seats available in any of the choices
20250000331,77751,,,Failure,No eligible seats available in any of the choices
20250000292,91365,,,Failure,No eligible seats available in any of the choices
20250000908,95589,,,Failure,No eligible seats available in any of the choices
20250000675,97968,,,Failure,No eligible seats available in any of the choices
20250000608,101077,,,Failure,No eligible seats available in any of the choices
20250000560,103892,,,Failure,No eligible seats available in any of the choices
20250000368,105217,,,Failure,No eligible seats available in any of the choices
20250000943,109316,,,Failure,No eligible seats available in any of the choices
20250000210,109327,,,Failure,No eligible seats available in any of the choices
20250000846,109482,,,Failure,No eligible seats available in any of the choices
20250000599,112697,,,Failure,No eligible seats available in any of the choices
20250001183,112944,,,Failure,No eligible seats available in any of the choices
20250000265,116742,,,Failure,No eligible seats available in any of the choices
20250000961,118443,,,Failure,No eligible seats available in any of the choices
20250000843,122537,,,Failure,No eligible seats available in any of the choices
20250000098,125936,,,Failure,No eligible seats available in any of the choices
20250000123,129019,,,Failure,No eligible seats available in any of the choices
20250000778,129053,,,Failure,No eligible seats available in any of the choices
20250001058,131747,,,Failure,No eligible seats available in any of the choices
20250000324,133357,,,Failure,No eligible seats available in any of the choices
20250000280,136402,,,Failure,No eligible seats available in any of the choices
20250000729,137483,,,Failure,No eligible seats available in any of the choices
20250000571,137569,,,Failure,No eligible seats available in any of the choices
20250000672,139611,,,Failure,No eligible seats available in any of the choices
20250000329,140470,,,Failure,No eligible seats available in any of the choices
20250000494,140814,,,Failure,No eligible seats available in any of the choices
20250000755,140891,,,Failure,No eligible seats available in any of the choices
20250000699,145242,,,Failure,No eligible seats available in any of the choices
20250001125,145766,,,Failure,No eligible seats available in any of the choices
20250000750,147186,,,Failure,No eligible seats available in any of the choices
20250000312,148117,,,Failure,No eligible seats available in any of the choices
20250000809,149126,,,Failure,No eligible seats available in any of the choices
20250000287,152056,,,Failure,No eligible seats available in any of the choices
20250000457,152503,,,Failure,No eligible seats available in any of the choices
20250000187,152985,,,Failure,No eligible seats available in any of the choices
20250000318,153171,,,Failure,No eligible seats available in any of the choices
20250000372,154178,,,Failure,No eligible seats available in any of the choices
20250000258,154543,,,Failure,No eligible seats available in any of the choices
20250000248,154750,,,Failure,No eligible seats available in any of the choices
20250000743,161032,,,Failure,No eligible seats available in any of the choices
20250001201,162577,,,Failure,No eligible seats available in any of the choices
