Student ID,Department,Round,Category,SubCategory,JEE Rank,Allocated At
20250000234,cse,2,GENERAL,GNGN,56124,2025-06-01T17:33:42.142Z
20250000746,cse,2,GENERAL,EWS,67067,2025-06-01T17:33:42.142Z
20250001089,cse,2,GENERAL,GNGN,68934,2025-06-01T17:33:42.142Z
20250000853,cse,2,GENERAL,GNGN,76388,2025-06-01T17:33:42.142Z
20250000908,cse,2,GENERAL,EWS,95589,2025-06-01T17:33:42.142Z
20250000608,mnc,2,GENERAL,GNGN,101077,2025-06-01T17:34:17.642Z
20250000368,ai_robotics,2,GENERAL,GNGN,105217,2025-06-01T17:34:17.661Z
20250000943,ai_robotics,2,GENERAL,GNGN,109316,2025-06-01T17:33:42.142Z
20250000778,ece,2,GENERAL,GNGN,129053,2025-06-01T17:34:17.668Z
20250000280,ece,2,GENERAL,GNGN,136402,2025-06-01T17:34:17.675Z
20250000729,ece,2,GENERAL,GNGN,137483,2025-06-01T17:34:17.682Z
20250000329,ai_robotics,2,GENERAL,GNGN,140470,2025-06-01T17:34:17.690Z
20250000699,mnc,2,GENERAL,GNCDP,145242,2025-06-01T17:34:17.699Z
20250000312,mnc,2,GENERAL,GNGN,148117,2025-06-01T17:34:17.707Z
20250000457,ai_robotics,2,GENERAL,GNGN,152503,2025-06-01T17:34:17.715Z
20250000187,mnc,2,GENERAL,EWS,152985,2025-06-01T17:34:17.719Z
20250000743,mnc,2,GENERAL,GNGN,161032,2025-06-01T17:33:42.142Z
20250000656,ai_robotics,2,GENSPT,GNSPT,167506,2025-06-01T17:34:17.722Z
20250000400,ce,2,GENERAL,GNGN,171021,2025-06-01T17:34:17.727Z
20250000671,ee,2,GENERAL,GNGN,173094,2025-06-01T17:34:17.731Z
20250000688,ee,2,GENERAL,GNGN,173788,2025-06-01T17:34:17.735Z
20250000276,ee,2,GENERAL,GNGN,174310,2025-06-01T17:34:17.744Z
20250000614,ce,2,GENERAL,GNGN,175230,2025-06-01T17:34:17.750Z
20250000545,cse,2,RLAC,RLAC,186129,2025-06-01T17:33:42.142Z
20250000336,me,2,GENERAL,GNGN,197678,2025-06-01T17:34:17.755Z
20250000623,ce,2,GENERAL,GNGN,207576,2025-06-01T17:34:17.760Z
20250001126,ai_robotics,2,EWS,EWS,211938,2025-06-01T17:33:42.142Z
20250000920,ce,2,GENERAL,GNGN,219051,2025-06-01T17:34:17.765Z
20250000945,mnc,2,EWS,EWS,222498,2025-06-01T17:34:17.769Z
20250000758,mnc,2,RLAC,RLAC,233259,2025-06-01T17:34:17.772Z
20250000350,cse,2,SC,SCCDP,244085,2025-06-01T17:33:42.142Z
20250000627,ee,2,EWS,EWS,251445,2025-06-01T17:34:17.776Z
20250000765,ee,2,EWS,EWS,265460,2025-06-01T17:34:17.784Z
20250000982,me,2,EWS,EWS,283899,2025-06-01T17:34:17.789Z
20250001200,mnc,2,GENCDP,GNCDP,285429,2025-06-01T17:33:42.142Z
20250001023,me,2,EWS,EWS,302015,2025-06-01T17:34:17.795Z
20250000217,cse,2,RBA,RBA,374302,2025-06-01T17:33:42.142Z
20250000645,cse,2,RBA,RBA,384815,2025-06-01T17:33:42.142Z
20250001068,ai_robotics,2,ST 1,ST1,471610,2025-06-01T17:33:42.142Z
20250000253,mnc,2,OBC,OBC,505577,2025-06-01T17:34:17.799Z
20250000557,cse,2,SC,SCCDP,667577,2025-06-01T17:33:42.142Z
20250000619,ce,2,ST 2,ST2,732166,2025-06-01T17:33:42.142Z
20250001123,ce,2,RLAC,RLAC,774206,2025-06-01T17:34:17.802Z
20250000301,ai_robotics,2,SC,SCCPF,776231,2025-06-01T17:33:42.142Z
20250000168,ai_robotics,2,ST 1,ST1CDP,786819,2025-06-01T17:34:17.805Z
20250000715,ai_robotics,2,SC,SC,832707,2025-06-01T17:34:17.808Z
20250000226,ce,2,ST 2,ST2,912247,2025-06-01T17:33:42.142Z
20250000683,ce,2,SC,SC,989254,2025-06-01T17:34:17.814Z
20250001149,me,2,RBA,RBA,1333932,2025-06-01T17:34:17.821Z
