departmentId,category,subCategory,totalSeats
cs,GEN,GNGN,12
cs,GEN,GNPWD,0
cs,GEN,GNCDP,0
cs,GEN,GNCPF,0
cs,GEN,GNSPT,0
cs,EWS,EWS,2
cs,EWS,EWSPWD,0
cs,EWS,EWSCDP,0
cs,EWS,EWSCPF,0
cs,EWS,EWSSPT,1
cs,SC,SC,3
cs,SC,SCPWD,0
cs,SC,SCCDP,0
cs,SC,SCCPF,0
cs,SC,SCSPT,0
cs,ST1,ST1,2
cs,ST1,ST1PWD,0
cs,ST1,ST1CDP,0
cs,ST1,ST1CPF,1
cs,ST1,ST1SPT,0
cs,ST2,ST2,3
cs,ST2,ST2PWD,0
cs,ST2,ST2CDP,0
cs,ST2,ST2CPF,0
cs,ST2,ST2SPT,0
cs,RBA,RBA,3
cs,RBA,RBAPWD,0
cs,RBA,RBACDP,0
cs,RBA,RBACPF,0
cs,RBA,RBASPT,0
cs,RLAC,RLAC,1
cs,RLAC,RLACPWD,0
cs,RLAC,RLACCDP,0
cs,RLAC,RLACCPF,0
cs,RLAC,RLACSPT,0
cs,OBC,OBC,1
cs,OBC,OBCPWD,1
cs,OBC,OBCCDP,0
cs,OBC,OBCCPF,0
cs,OBC,OBCSPT,0
ce,GEN,GNGN,11
ce,GEN,GNPWD,0
ce,GEN,GNCDP,1
ce,GEN,GNCPF,0
ce,GEN,GNSPT,0
ce,EWS,EWS,3
ce,EWS,EWSPWD,0
ce,EWS,EWSCDP,0
ce,EWS,EWSCPF,0
ce,EWS,EWSSPT,0
ce,SC,SC,2
ce,SC,SCPWD,0
ce,SC,SCCDP,0
ce,SC,SCCPF,0
ce,SC,SCSPT,0
ce,ST1,ST1,3
ce,ST1,ST1PWD,0
ce,ST1,ST1CDP,0
ce,ST1,ST1CPF,0
ce,ST1,ST1SPT,0
ce,ST2,ST2,2
ce,ST2,ST2PWD,0
ce,ST2,ST2CDP,1
ce,ST2,ST2CPF,0
ce,ST2,ST2SPT,0
ce,RBA,RBA,2
ce,RBA,RBAPWD,1
ce,RBA,RBACDP,0
ce,RBA,RBACPF,0
ce,RBA,RBASPT,0
ce,RLAC,RLAC,1
ce,RLAC,RLACPWD,0
ce,RLAC,RLACCDP,0
ce,RLAC,RLACCPF,0
ce,RLAC,RLACSPT,0
ce,OBC,OBC,3
ce,OBC,OBCPWD,0
ce,OBC,OBCCDP,0
ce,OBC,OBCCPF,0
ce,OBC,OBCSPT,0
ece,GEN,GNGN,11
ece,GEN,GNPWD,0
ece,GEN,GNCDP,0
ece,GEN,GNCPF,0
ece,GEN,GNSPT,1
ece,EWS,EWS,2
ece,EWS,EWSPWD,0
ece,EWS,EWSCDP,1
ece,EWS,EWSCPF,0
ece,EWS,EWSSPT,0
ece,SC,SC,2
ece,SC,SCPWD,1
ece,SC,SCCDP,0
ece,SC,SCCPF,0
ece,SC,SCSPT,0
ece,ST1,ST1,2
ece,ST1,ST1PWD,1
ece,ST1,ST1CDP,0
ece,ST1,ST1CPF,0
ece,ST1,ST1SPT,0
ece,ST2,ST2,3
ece,ST2,ST2PWD,0
ece,ST2,ST2CDP,0
ece,ST2,ST2CPF,0
ece,ST2,ST2SPT,0
ece,RBA,RBA,3
ece,RBA,RBAPWD,0
ece,RBA,RBACDP,0
ece,RBA,RBACPF,0
ece,RBA,RBASPT,0
ece,RLAC,RLAC,1
ece,RLAC,RLACPWD,0
ece,RLAC,RLACCDP,0
ece,RLAC,RLACCPF,0
ece,RLAC,RLACSPT,0
ece,OBC,OBC,2
ece,OBC,OBCPWD,0
ece,OBC,OBCCDP,0
ece,OBC,OBCCPF,0
ece,OBC,OBCSPT,0
ee,GEN,GNGN,11
ee,GEN,GNPWD,0
ee,GEN,GNCDP,0
ee,GEN,GNCPF,0
ee,GEN,GNSPT,1
ee,EWS,EWS,3
ee,EWS,EWSPWD,0
ee,EWS,EWSCDP,0
ee,EWS,EWSCPF,0
ee,EWS,EWSSPT,0
ee,SC,SC,1
ee,SC,SCPWD,0
ee,SC,SCCDP,1
ee,SC,SCCPF,0
ee,SC,SCSPT,0
ee,ST1,ST1,2
ee,ST1,ST1PWD,1
ee,ST1,ST1CDP,0
ee,ST1,ST1CPF,0
ee,ST1,ST1SPT,0
ee,ST2,ST2,2
ee,ST2,ST2PWD,1
ee,ST2,ST2CDP,0
ee,ST2,ST2CPF,0
ee,ST2,ST2SPT,0
ee,RBA,RBA,3
ee,RBA,RBAPWD,0
ee,RBA,RBACDP,0
ee,RBA,RBACPF,0
ee,RBA,RBASPT,0
ee,RLAC,RLAC,1
ee,RLAC,RLACPWD,0
ee,RLAC,RLACCDP,0
ee,RLAC,RLACCPF,0
ee,RLAC,RLACSPT,0
ee,OBC,OBC,3
ee,OBC,OBCPWD,0
ee,OBC,OBCCDP,0
ee,OBC,OBCCPF,0
ee,OBC,OBCSPT,0
mnc,GEN,GNGN,11
mnc,GEN,GNPWD,0
mnc,GEN,GNCDP,1
mnc,GEN,GNCPF,0
mnc,GEN,GNSPT,0
